"season","first_name","last_name","position","origin","destination","transfer_date","rating","stars","eligibility"
2021,"Dylan","Spencer","OT","Missouri","Jackson State",2020-11-11,NA,3,"TBD"
2021,"Sean","Fitzgerald","IOL","Coastal Carolina","Missouri State",2020-11-11,NA,2,"TBD"
2021,"Malik","Occiur","S","Western Kentucky",NA,2020-11-11,NA,3,"TBD"
2021,"Frank","Coppet","S","Vanderbilt",NA,2020-11-11,NA,3,"Immediate"
2021,"William","Anglen","S","Colorado",NA,2020-11-10,NA,3,"TBD"
2021,"Zack","Dobson","WR","West Virginia",NA,2020-11-10,NA,3,"TBD"
2021,"Dimitri","Moore","LB","Vanderbilt","Missouri State",2020-11-24,NA,3,"Immediate"
2021,"Josh","Marsh","LB","Auburn",NA,2020-11-10,NA,3,"TBD"
2021,"Frendy","Darelus","EDGE","Buffalo",NA,2020-11-10,NA,2,"TBD"
2021,"Kaimana","Wa'a","IOL","Hawai'i","Texas State",2020-11-09,NA,2,"TBD"
2021,"Zach","Bowers","LB","Hawai'i",NA,2020-11-09,NA,3,"TBD"
2021,"Josh","Berry","RB","South Florida","Blinn College",2020-11-09,NA,NA,"Immediate"
2021,"Daraun","McKinney","CB","Iowa","South Dakota",2020-11-09,NA,3,"TBD"
2021,"Antwan","Collier","CB","UCF",NA,2020-11-09,NA,3,"TBD"
2021,"Eric","Mitchell","LB","UCF",NA,2020-11-09,NA,3,"TBD"
2021,"Gerald","Smith","ATH","Ball State",NA,2020-11-06,NA,NA,"TBD"
2021,"Vance","Vallair","CB","UTSA",NA,2020-11-06,NA,3,"TBD"
2021,"Ronald","Delancy III","S","Nebraska","Toledo",2020-11-27,NA,3,"TBD"
2021,"Kareem","Walker","RB","Mississippi State","South Alabama",2020-11-05,NA,3,"Immediate"
2021,"Matthew","Tago","OLB","Oregon State","San José State",2020-11-10,NA,3,"Immediate"
2021,"Jamari","Stewart","EDGE","Mississippi State","South Florida",2020-11-12,NA,3,"TBD"
2021,"Jamal","Holloway","EDGE","UNLV",NA,2020-11-05,NA,3,"TBD"
2021,"Greg","Ross","CB","Iowa State","James Madison",2020-11-04,NA,3,"Immediate"
2021,"Jonathan","Alexander","S","Kansas State","Mississippi State",2020-11-04,NA,3,"TBD"
2021,"Brian","Foley","OG","Holy Cross","Duke",2020-11-03,0.8,3,"Immediate"
2021,"Thomas","Grayson","RB","Kansas State","Central Oklahoma",2020-11-03,NA,3,"TBD"
2021,"Aaron","Kelly","S","Massachusetts",NA,2020-11-03,NA,NA,"TBD"
2021,"Jonah","Morris","WR","Akron","Northern Colorado",2020-10-12,NA,3,"Immediate"
2021,"Calvin","Lockett","WR","Iowa",NA,2020-11-03,NA,3,"TBD"
2021,"Jonathan","Timmons","IOL","Charlotte",NA,2020-11-03,NA,2,"TBD"
2021,"Keeath","Magee II","ILB","Texas A&M","College of Charleston",2020-11-03,NA,2,"Immediate"
2021,"Tyrik","Henderson","CB","Northern Illinois",NA,2020-11-02,NA,3,"TBD"
2021,"Terrance","Gipson","DUAL","SMU","Blinn College",2020-11-02,NA,NA,"Immediate"
2021,"Kevin","Davis","WR","UAB",NA,2020-11-02,NA,3,"TBD"
