"","athlete_id","first_name","last_name","team","season","post_ppa","years_in_college","prev_pass_yds","prev_pass_td","prev_avg_ppa","dest_off_ppa","dest_sp_offense","is_transfer"
"778",5081405,"AJ","Swann","Vanderbilt",2023,55.293,2,1274,10,0.581,0.0591826791936009,23.6,0
"779",5082965,"Tommy","Ulatowski","Kent State",2023,27.36,2,102,1,0.545,0.0299990960171375,8.2,0
"780",5083042,"Skyler","Locklear","Austin Peay",2023,4.659,2,11,0,0.333,NA,NA,0
"781",5083145,"Bo","Kelly","Cal Poly",2023,15.934,2,102,0,0.524,NA,NA,0
"782",5083171,"Jack","Layne","Idaho",2023,27.671,2,255,1,0.621,NA,NA,0
"783",5083757,"Paxton","DeLaurent","Southeast Missouri State",2023,98.822,2,2684,19,0.61,NA,NA,0
"784",5083758,"Patrick","Heitert","Southeast Missouri State",2023,23.577,2,221,0,0.583,NA,NA,0
"785",5083846,"Ryan","Schuster","Lafayette",2023,1.934,2,406,2,0.551,NA,NA,0
"786",5083941,"Collin","Shannon","VMI",2023,9.15,2,182,0,0.621,NA,NA,0
"787",5083986,"Jamari","Jones","Mississippi Valley State",2023,-4.003,2,795,8,0.545,NA,NA,0
"788",5084084,"Kevin","Jennings","SMU",2023,40.429,2,205,1,0.773,0.273827621662459,34.1,0
"789",5084180,"Diego","Pavia","New Mexico State",2023,201.517,2,1442,13,0.529,0.271837686252772,23.3,0
"790",5084304,"Chancellor","Edwards","Arkansas-Pine Bluff",2023,-12.341,2,131,0,0.469,NA,NA,0
"791",5084348,"Colin","Parachek","Marshall",2023,-0.824,2,223,2,0.522,0.109347573131042,24.4,1
"792",5084404,"Liam","O'Brien","Pennsylvania",2023,15.619,2,65,0,0.8,NA,NA,0
"793",5085570,"Logan","Gonzalez","Portland State",2023,4.959,2,11,0,0.333,NA,NA,0
"794",5085644,"Coulter","Cleland","Davidson",2023,66.026,2,85,2,0.8,NA,NA,0
"795",5085714,"Jordan","Pachot","Missouri State",2023,150.61,2,0,0,0,0.314290188602476,NA,0
"796",5085788,"Enzo","Arjona","Monmouth",2023,1.048,2,548,4,0.606,NA,NA,0
"797",5085808,"Marqui","Adams","Delaware State",2023,63.017,2,94,0,0.423,NA,NA,0
"798",5085848,"Carson","Jones","Furman",2023,17.072,2,2,0,1,NA,NA,0
"799",5085941,"Zach","Osborne","Colgate",2023,41.11,2,22,0,0.25,NA,NA,0
"800",5086865,"Tony","Bartalo","Charleston Southern",2023,-1.021,2,671,4,0.537,NA,NA,0
"801",5086920,"Eli","Brickhandler","North Carolina A&T",2023,6.521,2,60,1,0.6,NA,NA,0
"802",5086970,"Ryan","O'Connor","Delaware",2023,58.209,2,66,1,0.833,0.144268135700966,NA,0
"803",5086995,"Dante","Casciola","Dayton",2023,3.714,2,757,5,0.649,NA,NA,0
"804",5087297,"Ja'Shawn","Scroggins","Howard",2023,3.701,2,61,0,0.667,NA,NA,0
"805",5088096,"Ty","Englehart","Presbyterian",2023,25.4,2,362,1,0.563,NA,NA,0
"806",5088103,"Tyler","Wesley","Presbyterian",2023,78.94,2,639,4,0.543,NA,NA,0
"807",5088158,"Matt","Arvanitis","Stonehill",2023,-2.349,2,38,0,0.333,NA,NA,0
"808",5088166,"Ashur","Carraha","Stonehill",2023,63.904,2,1565,14,0.54,NA,NA,0
"809",5088330,"Cole","Doyle","St. Francis (PA)",2023,111.916,2,1914,21,0.656,NA,NA,0
"810",5088992,"Amari","Powell","St. Thomas (MN)",2023,43.824,2,24,0,0.375,NA,NA,0
"811",5089022,"Nyqua","Lett","Alabama State",2023,-1.22,2,45,0,0.5,NA,NA,0
"812",5089540,"Cole","Gonzales","Western Carolina",2023,193.972,2,1336,11,0.634,NA,NA,0
"813",5089862,"Quaterius","Hawkins","Northwestern State",2023,10.498,2,806,5,0.491,NA,NA,1
"814",5091786,"Brian","Mauer","Stephen F. Austin",2023,17.583,2,123,1,0.526,NA,NA,0
"815",5092306,"Justin","Holaday","New Mexico",2023,-0.554,2,222,0,0.441,0.262984473797173,22.5,0
"816",5092781,"Jack","Turner","Louisiana Tech",2023,45.701,2,176,1,0.552,0.113558896085306,22.1,0
"817",5093185,"Noah","Walters","North Alabama",2023,75.699,2,2149,19,0.53,NA,NA,0
"818",5095112,"Zach","Tanner","Robert Morris",2023,14.851,2,794,3,0.476,NA,NA,0
