"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"54",2021,"4034675","Ben Ratzlaff","WR","Western Kentucky","CUSA",0.209,0.209,NA,0.82,-0.198,0.982,0.209,NA,1.877,1.877,0,4.102,-0.396,0.982,1.877,0,NA
"55",2021,"4034772","Seth Green","TE","Houston","AAC",1.259,1.259,NA,-0.396,1.564,3.426,0.685,1.928,16.367,16.367,0,-1.584,7.818,6.853,4.796,11.571,NA
"56",2021,"4034779","Ko Kieft","TE","Minnesota","B1G",1.328,1.328,NA,1.487,0.257,-0.318,1.534,0.299,7.969,7.969,0,2.974,0.514,-0.318,7.671,0.299,NA
"57",2021,"4034857","Patrick O'Brien","QB","Washington","PAC",-0.166,-0.584,1.507,-0.79,-0.622,0.194,-0.702,0.191,-0.831,-2.338,1.507,-0.79,-0.622,0.581,-1.403,0.573,NA
"58",2021,"4034860","JD Spielman","WR","TCU","B12",1.308,1.786,0.035,1.016,0.996,2.126,1.325,1.277,14.388,14.284,0.104,2.032,5.976,6.379,9.278,5.11,NA
"59",2021,"4034963","Rick Wells","WR","Florida","SEC",0.862,0.836,1.584,0.817,0.689,1.464,1.006,0.626,25.002,23.419,1.584,12.255,6.89,5.857,18.111,6.891,NA
"60",2021,"4035065","Justin Rigg","TE","Kentucky","SEC",0.572,0.572,NA,0.94,0.207,0.904,0.535,0.636,12.577,12.577,0,9.4,2.273,0.904,7.492,5.084,NA
"61",2021,"4035100","Micah Wilson","WR","Missouri","SEC",0.825,0.059,1.08,NA,0.059,0.823,1.08,0.059,3.298,0.059,3.239,0,0.059,1.646,3.239,0.059,NA
"62",2021,"4035106","Dawson Downing","RB","Missouri","SEC",0.144,0.591,0.013,-0.216,0.445,1.265,-0.126,2.658,4.461,4.137,0.323,-3.668,3.561,6.325,-3.515,7.975,NA
"63",2021,"4035167","Jarrett Guarantano","QB","Washington State","PAC",0.189,0.188,0.193,-0.103,0.341,0.435,-0.085,0.708,10.952,9.022,1.93,-2.673,6.828,4.785,-3.217,14.169,NA
"64",2021,"4035169","Latrell Williams","WR","South Florida","AAC",0.208,0.208,NA,-0.108,-0.235,1.887,-0.166,0.657,2.292,2.292,0,-0.542,-0.939,3.773,-0.994,3.286,NA
"65",2021,"4035198","Brandon Edward Johnson","WR","UCF","AAC",1.334,1.376,-0.231,1.132,1.29,1.493,1.056,1.559,50.695,50.925,-0.231,11.322,15.483,23.89,17.946,32.748,NA
